,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
28,0.2,0.32,0.72,0.020079840636817812,0.5028808,0.014027668660997096,0.6983199999999999,0.0008055686588972606,3.2679046655153554e-08,1.4654268527524126e-06,6.13514921083654e-07,0.000386389430658928,9.193981777415956e-05,0.004990361929132806
19,0.2,0.34,0.692,0.020646355610615643,0.4817436,0.014375042868738861,0.6960075144508671,0.0008540588130410453,3.2959540834884474e-08,1.6892664184283041e-06,4.160909073550569e-06,0.0004412070169580059,0.00025589245075611946,0.005897822875966112
21,0.2,0.36,0.714,0.020209106858047932,0.495716,0.014035760213397776,0.6941647058823529,0.0008501986850702074,4.9726220549494515e-08,1.540658789320176e-06,1.4610593954259865e-06,0.00040192258343982215,9.999664632576852e-05,0.005036602110139182
29,0.2,0.38,0.718,0.020123419192572618,0.49818280000000004,0.013967944921437797,0.6937286908077993,0.0008663861450627355,5.182510651973663e-08,1.8700773404731713e-06,3.7378069352678215e-07,0.0003581377630413802,0.00011288277485895873,0.005038286922220161
24,0.2,0.4,0.698,0.02053270561811083,0.4832424,0.014221310856755785,0.6921936962750717,0.0009324496608547848,9.609993544020612e-08,2.4196550750593847e-06,2.9107607145669646e-06,0.00042706243362636764,0.000269849332379267,0.005905678431576674
17,0.2,0.42,0.69,0.02068332661831747,0.47745519999999997,0.014318699571746033,0.6918301449275363,0.0009657539810334659,5.210560069946754e-08,2.093916906149063e-06,2.2846765187544023e-06,0.00042003493213657177,0.0002326069739252386,0.005730853607699187
46,0.2,0.44,0.722,0.020035768016225385,0.4994496,0.013867855189598715,0.6916432132963989,0.0009295004083197918,4.9726220549494515e-08,1.540658789320176e-06,1.3937524775464125e-07,0.00036925701547938183,0.00010451619751871915,0.0049767931642968445
27,0.2,0.46,0.724,0.01999119806314769,0.502156,0.013872149744289816,0.693467955801105,0.0008927091598861637,5.210560069946754e-08,2.093916906149063e-06,2.574069040500271e-06,0.0004228673376152729,0.00025901018165442165,0.005849956898862563
20,0.2,0.48,0.736,0.019713142824014644,0.5080536000000001,0.013617315236641912,0.6901853260869565,0.0009338726326393317,6.91527745938085e-08,2.1691488427168262e-06,3.6002057616679745e-07,0.00038076459148128324,8.241696362329198e-05,0.004846216986443496
83,0.2,0.5,0.728,0.019900552756142227,0.5020632,0.013731604597115372,0.6895510989010988,0.0008599228022804341,6.887228041407758e-08,1.945309277040935e-06,3.3338512549392407e-07,0.00034424197389420184,5.525771411519315e-05,0.0046094547866145745
82,0.2,0.52,0.692,0.020646355610615643,0.47757520000000003,0.014253364326008088,0.6900052023121388,0.000893295846089694,1.575439422459393e-08,1.433719101981646e-06,2.9770294064066247e-06,0.000426672039484939,0.00028471191005113844,0.006019003420664141
94,0.2,0.54,0.706,0.020374690181693564,0.48706360000000004,0.014064744465153997,0.6897722379603399,0.0009704362351364235,3.2679046655153554e-08,1.4654268527524126e-06,3.308041074190596e-07,0.0003752863739646904,5.5536576704223755e-05,0.004710045802844694
112,0.2,0.56,0.722,0.020035768016225385,0.49804,0.01382705063562002,0.6896919667590027,0.0008762157166577244,5.210560069946754e-08,2.093916906149063e-06,4.4167398842827804e-07,0.0003819962791465053,9.197833533218058e-05,0.004949330661971984
89,0.2,0.58,0.718,0.020123419192572618,0.49601,0.01390858248852125,0.6907103064066853,0.0008945324632068818,5.222812216324887e-08,2.1374410919460597e-06,2.927430498937245e-06,0.00042438274460078723,0.0002930072041720398,0.0060669062315673525
93,0.2,0.6,0.704,0.020414896521902825,0.48605200000000004,0.014104702785666914,0.690297159090909,0.0010137624655587837,4.9726220549494515e-08,1.540658789320176e-06,4.0219750027173255e-06,0.00043484627474847957,0.00030324870134045326,0.006102259434872716
80,0.2,0.62,0.686,0.020755914819636352,0.47409920000000005,0.01435022565950515,0.6909825072886298,0.000919929140979302,6.91527745938085e-08,2.1691488427168262e-06,2.342789797021889e-06,0.0004196195855149798,0.0002682488797315959,0.0059166126372234215
96,0.2,0.64,0.712,0.020251222185339826,0.4945464,0.01407248222077683,0.6944696629213483,0.0008978830200793073,1.575439422459393e-08,1.433719101981646e-06,8.055516254839621e-07,0.0003933944545888963,0.00015823541340626143,0.005369641485153811
119,0.2,0.66,0.75,0.019364916731037084,0.5208307999999999,0.01345679680840578,0.6943488000000001,0.0008787804760285068,5.0006714729225435e-08,1.7644983549960677e-06,2.9252090915032214e-06,0.00042400980186383725,0.00018306951406679342,0.0055754289049837905
116,0.2,0.68,0.75,0.019364916731037084,0.5229792,0.01351091988928659,0.6972053333333333,0.0008604453186405109,6.91527745938085e-08,2.1691488427168262e-06,1.4935422273582845e-06,0.00040421537924672195,0.0003160051493431734,0.006092345857011179
